date,sales
2023-05-13,150
2023-05-14,136
2023-05-15,126
2023-05-16,172
2023-05-17,192
2023-05-18,125
2023-05-19,164
2023-05-20,140
2023-05-21,143
2023-05-22,141
2023-05-23,135
2023-05-24,153
2023-05-25,136
2023-05-26,157
2023-05-27,151
2023-05-28,147
2023-05-29,133
2023-05-30,140
2023-05-31,166
2023-06-01,161
2023-06-02,132
2023-06-03,153
2023-06-04,166
2023-06-05,117
2023-06-06,162
2023-06-07,137
2023-06-08,162
2023-06-09,135
2023-06-10,114
2023-06-11,118
2023-06-12,151
2023-06-13,155
2023-06-14,132
2023-06-15,163
2023-06-16,117
2023-06-17,149
2023-06-18,126
2023-06-19,137
2023-06-20,151
2023-06-21,133
2023-06-22,142
2023-06-23,170
2023-06-24,138
2023-06-25,166
2023-06-26,127
2023-06-27,160
2023-06-28,178
2023-06-29,100
2023-06-30,134
2023-07-01,161
2023-07-02,145
2023-07-03,157
2023-07-04,137
2023-07-05,151
2023-07-06,146
2023-07-07,173
2023-07-08,155
2023-07-09,156
2023-07-10,141
2023-07-11,140
2023-07-12,141
2023-07-13,158
2023-07-14,141
2023-07-15,156
2023-07-16,191
2023-07-17,167
2023-07-18,143
2023-07-19,174
2023-07-20,142
2023-07-21,109
2023-07-22,130
2023-07-23,113
2023-07-24,143
2023-07-25,151
2023-07-26,184
2023-07-27,157
2023-07-28,146
2023-07-29,167
2023-07-30,107
2023-07-31,156
2023-08-01,167
2023-08-02,122
2023-08-03,174
2023-08-04,158
2023-08-05,143
2023-08-06,164
2023-08-07,197
2023-08-08,156
2023-08-09,157
2023-08-10,143
2023-08-11,135
2023-08-12,169
2023-08-13,136
2023-08-14,154
2023-08-15,143
2023-08-16,163
2023-08-17,160
2023-08-18,174
2023-08-19,144
2023-08-20,148
2023-08-21,134
2023-08-22,145
2023-08-23,162
2023-08-24,170
2023-08-25,136
2023-08-26,172
2023-08-27,182
2023-08-28,164
2023-08-29,193
2023-08-30,140
2023-08-31,131
2023-09-01,121
2023-09-02,186
2023-09-03,170
2023-09-04,156
2023-09-05,163
2023-09-06,135
2023-09-07,207
2023-09-08,160
2023-09-09,160
2023-09-10,173
2023-09-11,168
2023-09-12,163
2023-09-13,143
2023-09-14,169
2023-09-15,197
2023-09-16,187
2023-09-17,192
2023-09-18,150
2023-09-19,141
2023-09-20,158
2023-09-21,162
2023-09-22,183
2023-09-23,128
2023-09-24,193
2023-09-25,159
2023-09-26,154
2023-09-27,143
2023-09-28,130
2023-09-29,180
2023-09-30,165
2023-10-01,138
2023-10-02,138
2023-10-03,158
2023-10-04,198
2023-10-05,160
2023-10-06,136
2023-10-07,161
2023-10-08,161
2023-10-09,113
2023-10-10,166
2023-10-11,163
2023-10-12,182
2023-10-13,205
2023-10-14,191
2023-10-15,163
2023-10-16,147
2023-10-17,221
2023-10-18,171
2023-10-19,170
2023-10-20,170
2023-10-21,175
2023-10-22,168
2023-10-23,160
2023-10-24,161
2023-10-25,171
2023-10-26,162
2023-10-27,159
2023-10-28,175
2023-10-29,168
2023-10-30,204
2023-10-31,121
2023-11-01,196
2023-11-02,200
2023-11-03,134
2023-11-04,169
2023-11-05,169
2023-11-06,148
2023-11-07,161
2023-11-08,155
2023-11-09,213
2023-11-10,197
2023-11-11,204
2023-11-12,193
2023-11-13,157
2023-11-14,169
2023-11-15,190
2023-11-16,156
2023-11-17,195
2023-11-18,176
2023-11-19,174
2023-11-20,196
2023-11-21,191
2023-11-22,176
2023-11-23,206
2023-11-24,162
2023-11-25,196
2023-11-26,196
2023-11-27,179
2023-11-28,192
2023-11-29,161
2023-11-30,205
2023-12-01,183
2023-12-02,177
2023-12-03,208
2023-12-04,174
2023-12-05,160
2023-12-06,158
2023-12-07,201
2023-12-08,164
2023-12-09,225
2023-12-10,149
2023-12-11,225
2023-12-12,195
2023-12-13,190
2023-12-14,181
2023-12-15,200
2023-12-16,192
2023-12-17,215
2023-12-18,196
2023-12-19,197
2023-12-20,187
2023-12-21,194
2023-12-22,202
2023-12-23,162
2023-12-24,169
2023-12-25,212
2023-12-26,201
2023-12-27,194
2023-12-28,198
2023-12-29,205
2023-12-30,188
2023-12-31,184
